eight	අට
as belonging	ද අයත්
implemented the	ක්‍රියාත්මක මෙම
and Doug	රවී අයියා
method used	ක්‍රමය භාවිතා
attract the	ආකර්ශනය කර
flowing through	හරහා ගලා
the illness	අසනීප වූ
new look	වගේ අලුත්
wages and	වැටුප් සහ
large size	විශාල ප්‍රමාණයේ
his relatives	තම ඥාතීන්
building houses	මේ ගොඩනැගිල්ල
prepared the	පිළියෙළ කර
exports to	අපනයනය කර
mainstream media	මාධ්‍ය භාවිතාව
executive chairman	සභාපති ඒ
fastest time	ලොව වේගවත්ම
music production	නාට්‍ය නිෂ්පාදනය
by media	විසින් මාධ්‍ය
humanity and	මනුෂ්‍ය වර්ගයා
scattered throughout	විසිරී ඇති
television movie	මේ ටෙලි
hindi film	හින්දි චිත්‍රපට
criminal investigation	අපරාධ පරීක්ෂණ
story begins	කතාව පටන්
John Francis	ජෝශප් මයිකල්
located the	පිහිටි මේ
could reach	ළඟාවිය හැකි
Islamic law	ෂරියා නීතිය
by telling	විසින් මට
the sponsorship	සඳහා අනුග්‍රහය
former us	හිටපු ඇමරිකානු
the blessing	ආශිර්වාදය ලබා
and council	සභාව සහ
this victory	මේ ජයග්‍රහණය
for permission	සඳහා අවසර
the Indus	ඉන්දු නිම්න
Palgrave Macmillan	නිදහස් විශ්වකෝෂය
various positions	විවිධ අංශ
study that	මේ අධ්‍යයනය
shut out	වහලා දාලා
the busy	කාර්යබහුල වෙලා
to imitate	අනුකරණය කරන
mental and	සහ මානසික
glass window	වීදුරු ගෙවල්
or indirectly	සෘජුව හෝ
bright yellow	කහ පාට
died unmarried	හැවිරිදි විවාහක
sizes and	කුඩා ප්‍රමාණයේ
population increased	ජනගහනය වැඩි
and scheduled	නියමිත අතර
and pain	ඒ වේදනාව
the innocent	ඒ අහිංසක
arable land	කුඹුරු වගා
the dignity	ඒ ගෞරවය
magnetic resonance	විද්‍යුත් චුම්බක
proceeding to	සඳහා යාමට
athletes and	ක්‍රීඩක ක්‍රීඩිකාවන්
to temporarily	තාවකාලිකව හෝ
or national	හෝ ජාතික
waters in	මුහුදේ දී
the buses	බස් රථ
their ancestors	අපේ මුතුන්
and Welsh	වේල්ස් කුමාර
analyzing the	විශ්ලේෂණය කිරීම
and severe	තවත් දරුණු
enjoyment of	විනෝදය සඳහා
visited in	ලංකාවේ සංචාරයක
textile industry	ඇඟලුම් කර්මාන්තය
pivotal role	වැදගත් සන්ධිස්ථානයක්
by Francesco	ඇන්ටන් ජූඩ්
and bank	බැංකුව සහ
read it	එය කියවා
threats and	තර්ජන හා
how people	මිනිසුන් ගැන
and banking	සහ බැංකු
trip in	චාරිකාවක් සඳහා
by Russia	රුසියාව විසින්
her daughters	දියණියන් දෙදෙනා
as necessary	අවශ්‍ය ලෙස
ON DECEMBER	අගෝස්‌තු මස
people into	මිනිසුන් තුළ
symbolizes the	සංකේතවත් වන
detained in	අත්අඩංගුවේ සිටින
a creature	නම් ඌ
the arguments	ගැන තර්ක
the prices	නිසා මිල
parliament for	සඳහා පාර්ලිමේන්තුවේ
last updated	අවසන් යාවත්කාලීන
and woman	කාන්තාව සහ
chased by	පන්නා දමා
seated in	අසුන්ගෙන සිටි
the while	කරමින් එම
of Al	වූ අල්
brought before	එන්නට පෙර
and things	දේවල් සහ
traffic congestion	තදබදය නිසා
by researchers	පර්යේෂකයන් විසින්
training courses	පුහුණු පාඨමාලා
this created	එය නිර්මාණය
than £	වඩා රුපියල්
other information	බොහෝ තොරතුරු
to eradicate	මර්දනය කිරීම
sacrifice of	ජීවිත දානය
many large	මේ විශාල
be stopped	අපි නතර
rural gmina	දිස්ත් රික්කයේ
and directly	සෘජුව හා
and rain	වැස්ස නිසා
appeals court	අභියාචනාධිකරණය විසින්
realities of	මේ යථාර්ථය
are engaged	වල නිරතව
will keep	තියාගන්න පුළුවන්
the q	ඒ ස
computer software	පරිගණක මෘදුකාංග
singing voice	ගී හඬ
hatred of	වෛරය හා
several articles	ලිපි කිහිපයක්
his disciples	වහන්සේ තම
tailored to	ගැළපෙන ආකාරයට
his abilities	තම හැකියාවන්
not involve	කෙරෙන්නේ නැහැ
to dedicate	වෙනුවෙන් කැප
le monde	ගාමිණී වියන්ගොඩ
and Graham	සහ බී
unfit for	නුසුදුසු බව
financial officer	පොලිස් මූල්‍ය
st kilda	සාන්ත අන්තෝනි
harmful to	අහිතකර ලෙස
cricket matches	විස්සයි20 ක්‍රිකට්
the angry	කුපිත වූ
central province	මධ්‍යම පළාත
30 ft	අඩි 30
international conferences	ජාත්‍යන්තර සම්මන්ත්‍රණ
and and	සහ සහ
the evenings	අද රාත්‍රී
went ahead	ඉදිරියෙන් සිටි
and Raymond	ගුණරත්න සහ
and captained	පිල අතර
and sexuality	ලිංගිකත්වය ගැන
acres and	ඉඩම් අක්කර
the isthmus	සමුද්‍ර සන්ධිය
best books	හොඳ පොත්
years they	අපි වසර
the dictatorship	ඒකාධිපති පාලනය
abolish the	අහෝසි කිරීම
repetition of	මෙනෙහි කිරීම
character for	චරිතය සඳහා
pages and	පිටු අතර
hours for	සඳහා පැය
gain control	පාලනය කරගැනීමට
development plan	සංවර්ධන සැලැස්ම
third week	දෙවැනි දින
slowed down	අඩාල වී
kept as	ලෙස තබා
to procure	ගෙන්වා ඇති
environmentally friendly	පරිසර හිතකාමී
yyyy period	තැපැල් ලිපිනයක්දුරකතන
Sir William	ශ්‍රීමත් ජෝන්
the constitutionality	බව ශ්‍රේෂ්ඨාධිකරණය
utilized in	සඳහා යොදාගෙන
EU and	සහ යුරෝපා
disputes with	ආරවුල් ඇති
of habitats	කඩොලාන ශාක
for travel	ගමන් සඳහා
based his	මත ඔහුගේ
that continues	දිගටම ඒ
in near	ඒ ආසන්නයේ
this document	මේ ලියවිල්ල
and hospitals	රෝහල් සහ
across India	ඉන්දියාව පුරා
two routes	මාර්ග දෙකක්
methods used	ක්‍රම භාවිතා
his child	තම දරුවා
the hostages	කොල්ලකරුවන් විසින්
escaping from	පිටතට ගෙන
accommodation and	නවාතැන් පහසුකම්
to quell	මැඩපැවැත්වීම සඳහා
in Shropshire	සහ රත්නපුර
all our	අපේ සියලු
corporate governance	ආයතනික සමාජ
intervene in	මැදිහත් වූ
for viewing	නැරඹීම සඳහා
dignity and	සහ ගෞරවය
a preacher	ඔබ තුමා
requests to	මේ ඉල්ලීම්
the motorcycle	මෝටර් සයිකලයක්
the million	රුපියල් මිලියන
and baby	බබා වගේ
seeing that	බව දුටු
method that	ක්‍රමයක් ඇති
and abilities	හැකියාවන් සහ
after first	පසු පළමු
Brussels and	ප්‍රංශයේ පැරිස්
large for	සඳහා විශාල
the frankish	රෝම ලන්දේසි
harbour and	වරාය සහ
and healthy	නිරෝගී බව
nationalism and	ජාතිවාදය සහ
and Patricia	මහත්මිය සහ
apologized for	කනගාටුව ප්‍රකාශ
YEARS AND	මාස තුනක්‌
universal suffrage	සර්වජන ඡන්ද
central Asian	මධ්‍යම ආසියානු
the helmet	හෙල්මට් එක
amplitude of	තරංග ආයාමය
books written	පොත් ලියන
surpassing the	අභිබවා යන
clearly visible	පැහැදිලිව පෙනෙන
context and	සන්දර්භය තුළ
bollywood film	බොලිවුඩ් සිනමා
bombs and	බෝම්බ සහ
his sisters	සොයුරු සොයුරියන්
the calculation	ගණනය කිරීම
colloquially known	ලෙස හැඳින්වෙන
many schools	බොහෝ පාසල්
dissolve the	විසුරුවා හැර
tales and	සුරංගනා කතා
as normal	අසාමාන්‍ය ලෙස
by Google	ගූගල් එකේ
shorts and	ටයි එක
reforms and	ප්‍රතිසංස්කරණ හා
assertion that	මේ තර්කය
of Camden	සහ ගම්පහ
an indefinite	නියමයක් නොමැතිව
in hiding	සැඟවී ඇති
correct the	නිවැරදි නම්
efforts for	කටයුත්ත සඳහා
refugee camps	අවතැන් කඳවුරු
these locations	ඒ ස්ථාන
two medals	පදක්කම් දෙකක්
veterans and	රණවිරුවන් වෙනුවෙන්
the bet	ඔට්ටු නෑ
alone or	තනිව හෝ
mentored by	මේ ක්ෂේත්‍රයට
started when	විට ආරම්භ
and warning	අනතුරු ඇඟවීම
the publicity	ප්‍රචාරයක් ලබා
Gregorian calendar	ජූලියානු දින
the isolated	හුදකලා වූ
and Nathan	ද අල්විස්
health education	සෞඛ්‍ය අධ්‍යාපන
memories and	ඒ මතකයන්
fourth century	දෙවැනි භාගයේ
senior officers	ජ්‍යෙෂ්ඨ නිලධාරීන්
education that	අධ්‍යාපනය නිසා
after independence	නිදහසින් පසු
and serious	ඇති බරපතල
very powerful	ඉතා ප්‍රබල
was confined	හුදෙකලා වූ
the pilgrimage	වන්දනා කරන
and Ernest	ගාමිණී මහතා
monasteries in	වෙහෙර විහාරස්ථාන
the as	ලෙස එම
a marker	සලකුණු කිරීම
Kim Jong	නායක කිම්
and guided	ගෙනයා හැකි
afterwards the	පසුව එම
trafficking and	මත්ද්‍රව්‍ය ජාවාරම්
several reasons	හේතු ගණනාවක්
gun fire	ගිනි අවියක්
the granite	ගල් පර්වතය
a hoax	කතාව බොරුවක්
condemning the	විරෝධය ප්‍රකාශ
earlier by	විසින් පෙර
new market	නව වෙළෙඳ
the bombs	මෙම බෝම්බ
the impossible	බැරි මේ
in 1688	1815 මාර්තු
English school	ඉංග්‍රීසි අධ්‍යාපනය
by Helen	මහත්මිය විසින්
Berlin wall	බර්ලින් තාප්පය
Judy Garland	නන්දා මාලිනි
gained notoriety	ප්‍රසිද්ධියක් ලබා
births and	දරු උපත්
and seeing	දුටු නිසා
the urine	රුධිරයේ සීනි
the terrorists	ත්‍රස්තවාදීන් විසින්
Ios and	ඇන්ඩ්‍රොයිඩ් මෙහෙයුම්
accident that	අනතුර නිසා
to criticize	විවේචනය කරනවා
single or	හෝ තනි
and milk	කිරි කිරි
billion dollars	රුපියල් බිලියන
attention as	වශයෙන් අවධානය
sports facilities	ක්‍රීඩා උපකරණ
and secret	ද රහස්
bilateral relations	ද්විපාර්ශ්වික සාකච්ඡා
in Gloucester	අතර මහනුවර
for central	සඳහා මධ්‍යම
this portion	කොටසක් මේ
the holidays	නිවාඩු සහ
the floods	ගංවතුර නිසා
map and	මාර්ග සිතියම
surveyed in	සමීක්ෂණයකට අනුව
a cigarette	සිගරට් එක
Facebook and	ෆේස්බුක් සහ
Intercollegiate Athletic	මහා විද්‍යාලයීය
and translation	පරිවර්තනය හා
to confess	පාපොච්චාරණය කර
the bounty	මේ රටෙන්
weddings and	උත්සව සහ
the shade	හිරු රැසින්
the cake	කේක් එක
investigations and	පරීක්ෂණ හා
by soldiers	සෙබළුන් විසින්
the socio	හා සමාජීය
phones and	සහ ජංගම
websites and	සහ වෙබ්
small lake	කුඩා දිය
many thousands	දහස් ගණනින්
clearly defined	ලෙස නිර්වචනය
day care	ළමා දිනය
audiences and	ප්‍රේක්ෂකයන් අතර
sanctions against	ආර්ථික සම්බාධක
passenger transport	මගී ප්‍රවාහන
readers and	පාඨකයන් අතර
hockey championships	පාපන්දු ශූරතා
for official	සඳහා නිල
the fake	මේ බොරු
and rubber	හා රබර්
1 MILLION	රුපියල් ලක්‌ෂ
the guys	අපේ කොල්ලො
of organisms	වන ජීවීන්
concert pianist	සංගීත ප්‍රසංගය
two rooms	කාමර දෙකක්
to subdue	මෙල්ල කර
necessary and	සහ අවශ්‍ය
within 10	5 තුළ
cycling team	ලංකා පාපැදි
as legal	නීතිමය වශයෙන්
attitudes and	ආකල්ප හා
breath of	හුස්ම ගන්න
of essential	අත්‍යවශ්‍ය වන
location as	ස්ථානය ලෙස
and 250	500 ක්
surgery for	සැත්කම් සඳහා
and z	ස් සා
the Embassy	තානාපති කාර්යාලය
news website	නිව්ස් වෙබ්
through that	ඒ හරහා
one among	මේ අතුරින්
fishing boats	ධීවර යාත්‍රා
street near	මාවතේ පිහිටි
the particles	අංශු මාත්‍රයක්
the remarkable	මේ සුවිශේෂ
change as	ලෙස වෙනස්
person as	පුද්ගලයා ලෙස
party by	පක්ෂය විසින්
prediction of	ගැන අනාවැකි
for marriage	විවාහය සඳහා
the expenses	මුදල් වියදම්
his period	තම කාලය
angry and	ගැන කලබල
brain tumor	පිළිකා සෛල
taken back	පිට කර
registration and	සඳහා ලියාපදිංචි
the unconscious	සිහිය නැති
presented for	සඳහා ඉදිරිපත්
and parliamentary	සහ පාර්ලිමේන්තු
reservoir and	ජලාශයේ ජල
very famous	ඉතා ප්‍රසිද්ධ
popularized the	අතර ප්‍රචලිත
petroleum and	ඛනිජ තෙල්
consumers and	පාරිභෝගිකයන් වෙත
or alive	කොහේ හෝ
of explosives	පුපුරණ ද්‍රව්‍ය
this requires	ඇත්නම් එය
the uterus	යෝනි මාර්ගයේ
also interested	ගැන උනන්දු
the pious	උතුම් වූ
an altercation	බහින්බස් වීමක්
the humanitarian	මානුෂීය මෙහෙයුම
and pulled	දමා ගෙන
public display	මහජන ප්‍රදර්ශනය
the smell	ගඳ සුවඳ
and Derek	ප්‍රියන්ත මහතා
a transparent	විනිවිද පෙනෙන
of witchcraft	මන්ත්‍ර ගුරුකම්
fifth century	වෙනි සියවසේ
and maximum	සඳහා උපරිම
all schools	සියලුම පාසල්
for employees	සේවකයින් සඳහා
these reasons	හේතූන් නිසා
age he	ඔහු වයස
granted permission	අවසරය ලබා
the loyal	අපේ හිතවත්
pottery and	මැටි භාණ්ඩ
cricket match	ක්‍රිකට් තරගය
the ceasefire	විරාම ගිවිසුම
he hears	ඇසී ය
traits of	ලක්ෂණ සහ
for advice	සඳහා උපදෙස්
very narrow	ඉතා පටු
but within	තුළ නම්
the qualities	ගුණය නිසා
15 months	මාස 12
so than	වඩා නම්
by companies	සමාගම් විසින්
socialism and	සමාජවාදය ගැන
angered by	කෝපයට පත්
letter that	ඒ ලියුම
year 12	10 වසරේ
connective tissue	සෛල වල
as our	ලෙස අපගේ
two as	දෙකක් ලෙස
Historical Review	සිවුමංසල කොලූගැටයා
utilized the	යොදාගෙන ඇති
professional level	වෘත්තීය මට්ටමේ
jazz music	මේ සංගීත
many such	ආදී බොහෝ
and dances	නැටුම් හා
Nobel prize	නොබෙල් ත්‍යාගය
Thomas Edison	හෙන්රි ස්ටීල්
and greatly	බොහෝ සෙයින්
as examples	නිදසුන් ලෙස
east region	නැගෙනහිර ප්‍රදේශ
governorate of	ප් රදේශය
sees that	දකින මේ
Chairman and	සභාපති සහ
birth certificate	උප්පැන්න සහතිකය
the NASA	නාසා ආයතනය
George Orwell	පැරකුම් ජයසිංහ
most severe	ඉතා දරුණු
no change	වෙනසක් නැත
we learn	අපි ඉගෙන
as permanent	ස්ථිර ලෙස
and fitted	සවිකර ඇති
Professor and	මහාචාර්ය ඒ
loses the	නැතිවී ගිය
caves in	ගල් ගුහා
that read	මේ කියවන
decades in	පසුගිය දශක
how their	ගැන ඔවුන්ගේ
first steps	පළමු පියවර
meetings are	රැස්වීම් වලට
not afraid	කියලා බය
beaten and	පහරදුන් බව
economic situation	ආර්ථික තත්වය
year prior	පෙර වසරේ
year 2009	වසරේ මේ
executive council	විධායක සභාව
the incidents	මේ සිද්ධීන්
the audit	විගණකාධිපති දෙපාර්තමේන්තුව
best possible	හැකි හොඳම
twenty five	තුන හතරක්
next clue	ටික වෙලාවක්
grams of	කිලෝ ග්‍රෑම්
and 600	300 ක්
this amount	මේ ප්‍රමාණය
exists for	සඳහා පවතින
of electrons	ඉලෙක්ට් රෝන
bottles of	වතුර බෝතල්
bomb exploded	බෝම්බ පිපිරීම
the militants	කැරලිකරුවන් විසින්
chairs the	මේස පුටු
lost or	අහිමි වීම
killed as	ලෙස මරා
displayed the	මේ ප්‍රදර්ශනය
university education	විද්‍යාලයේ අධ්‍යාපනය
of diamonds	මැණික් සහ
as representative	නියෝජිතයකු ලෙස
this great	එය මහා
legalization of	නීතිගත කිරීම
and increasingly	නිසා වඩාත්
her she	ඔහු ඇය
the scenery	ඒ සුන්දරත්වය
nurses and	හෙද හෙදියන්
chemicals and	සහ රසායනික
packaged in	පැකට් එකක්
Sydney University	කොළඹ විශ්වවිද්‍යාලයේ
Theatre Festival	නාට්‍ය උළෙල
was pleased	සතුටු වූ
was revoked	අවලංගු කර
2002 World	1996 ලෝක
to behave	ලෙස හැසිරෙන
drink and	කෑම බීම
honest and	මගේ අවංක
jumped to	පැන්න ගමන්
print media	මුද්‍රිත මාධ්‍ය
a vegetarian	නිර්මාංශ ආහාර
the pretty	නම් ලස්සනයි
untimely death	මේ මරණය
Symposium on	මෙම සම්මන්ත්‍රණය
special session	විශේෂ රැස්වීමක්
shocked by	කම්පනයට පත්
Village and	මේ ගම්මානයේ
even some	නමුත් සමහර
De Silva	රන්ජන් රාමනායක
thwarted by	එය ව්‍යර්ථ
their target	අපේ ඉලක්කය
that belonged	අයත් බව
exchanged for	අතර හුවමාරු
his throne	සිහසුනට පත්
the Aspen	නෙළුම් යාය
questions that	ප්‍රශ්න ගැන
this poem	මේ කවිය
Mexican American	සඳහා අමෙරිකානු
legal advice	නීති උපදෙස්
the brakes	තිරිංග තද
versed in	හසල දැනුමක්
and removing	දැමීම සහ
characteristics that	මේ ලක්ෂණ
as slaves	වහලුන් ලෙස
and entertaining	තවත් රසවත්
to mobilize	ඒකරාශී කර
not intend	පුළුවන්කමක් නැහැ
the mistake	වරදක් නිසා
the kingdoms	රාජධානි සමයේ
killed after	මියගිය පසු
unfamiliar with	නුහුරු නුපුරුදු
main squad	කණ්ඩායමේ ප්‍රධාන
quotes from	උපුටා ගත්
suddenly in	හදිසියේ ඇති
and networking	ජාල හරහා
trouble and	කරදර ඇති
go go	යනවා ඒ
secretaries of	අමාත්‍යාංශ ලේකම්වරු
began running	ගමන් අරඹා
De Niro	කුමාර තිරිමාදුර
Orson Welles	ටෙනිසන් එදිරිසිංහ
that enable	හැකිවන බව
discussions and	හා සාකච්ඡා
the devastation	මේ විනාශය
the Monday	සෙනසුරාදා දින
disapproval of	සිය අප්‍රසාදය
Vladimir Lenin	ස්ටාලින් මහතා
topics and	මාතෘකා ගැන
August 1948	1983 ජූලි
will pay	ගෙවන්න පුළුවන්
facilities that	මේ පහසුකම්
television broadcast	රූපවාහිනී නාලිකාව
capitalism and	ධනවාදය විසින්
the deportation	පිටුවහල් කිරීම
Mayor and	සභාවේ නගරාධිපති
currently only	නමුත් දැනට
advertising campaigns	ප්‍රචාරණ කටයුතු
Indian Premier	ඉන්දීය පිල
music artists	සංගීත ශිල්පීන්
Amitabh Bachchan	ෂාරුක් ඛාන්
percent and	විට සියයට
as compensation	වන්දි වශයෙන්
and burial	මිහිදන් කර
permit for	සඳහා බලපත්‍ර
buy and	මිලදී ගන්න
goalless draw	සහ උත්සාහක
as demonstrated	ලෙස පෙන්නුම්
the compulsory	කිරීම අනිවාර්ය
the electromagnetic	විද්යුත් චුම්බක
began touring	සංචාරය ආරම්භ
vending machines	ටෙලර් යන්ත්‍ර
public outcry	මහජන විරෝධය
by Sydney	විසින් කොළඹ
kidney disease	වකුගඩු රෝගය
Obstetrics and	ශල්‍ය වෛද්‍ය
youth organization	තරුණ සංවිධානය
series including	මාලාවේ තවත්
night time	මැදියම් රැය
they belong	අයත් ඉන්නවා
nuclear reactors	න්‍යෂ්ටික බලාගාර
the somewhat	එය තරමක්
and Friday	සෙනසුරාදා සහ
and Newport	සහ ගාල්ල
in Fairfield	හෝමාගම ප්‍රාදේශීය
established after	නැවත ස්ථාපිත
report stated	වාර්තාවක සඳහන්
was reappointed	එම ධුරයට
Foster and	පෙරේරා සහ
in identifying	හඳුනාගැනීම සඳහා
shallow waters	ගැඹුරු මුහුදේ
and cars	මෝටර් වාහන
BBC four	චැනල් 4
the elaborate	අලංකාර වූ
still open	අද විවෘත
Sergeant Major	ලාන්ස් කෝප්‍රල්
be assessed	තක්සේරු කළ
the layers	මතුපිට ඇති
structure which	මෙම ආකෘතිය
incentives for	දිරිගැන්වීම සඳහා
insignia of	නිල ලාංඡනය
few examples	උදාහරණ කිහිපයක්
name also	නම නම්
of Vishnu	විෂ්ණු දෙවියන්
a futuristic	අමුතුම ආකාරයේ
posters and	බැනර් එක
and banned	ද තහනම්
bomb attack	බෝම්බ ප්‍රහාර
the slightest	ඒ අන්
the wicket	ටෙස්ට් කඩුලු
fire by	විසින් ගිනි
the insane	මේ පිස්සු
and personally	මා පෞද්ගලිකව
relates that	බව කියැවෙන
request and	ඒ ඉල්ලීම
awarding the	පිරිනැමීම සඳහා
more intense	වඩා දැඩි
postponed to	නියමිතව ඇති
production assistant	නිෂ්පාදන සහකාර
addition he	එසේම ඔහු
and intense	සහ දැඩි
during 2008	පසුගිය සමයේ
a subtle	ඉතා සියුම්
washed out	ගොඩට ගෙන
the bars	බාර් එක
traveled through	හරහා ගොස්
and removal	ඉවත් කිරීම
falling down	පහළට ඇද
Navy ships	නාවික නෞකා
the tsunami	සුනාමි ව්‍යසනය
nightclub in	ක්ලබ් එකේ
distantly related	නෑකම් කියන
the importation	ආනයනය කිරීම
mosques in	මුස්ලිම් පල්ලි
promises of	පොරොන්දු වූ
rock the	මුල් ගල
kilometres to	සිට කිලෝමීටර්
and anxiety	මානසික ආතතිය
distracted by	කලබලයට පත්
descent who	සම්භවයක් ඇති
Michael Schumacher	ඩේවිඩ් වෝනර්
discoveries of	නව සොයාගැනීම්
the responsible	සඳහා වගකිව
objectives and	අරමුණු සහ
for transporting	ප්‍රවාහනය කිරීම
it their	එය ඔවුන්ගේ
of belief	විශ්වාසය සහ
the darkest	ඒ අඳුරු
fundamental rights	අයිතිවාසිකම් පිළිබඳ
information provided	තොරතුරු සපයා
of morality	සදාචාරය ගැන
allusions to	උපමා කතා
national day	ජාතික දිනය
received funding	ප්‍රතිපාදන ලබා
bravery and	වීරෝදාර රණවිරුවන්
to sabotage	කඩාකප්පල් කිරීම
by singing	විසින් ගායනා
Muhammad Ibn	මුහම්මද් නබි
arriving from	පිටත්ව ගිය
clarify the	විග්‍රහ කිරීම
cleaning and	පිරිසිදු කිරීම
fingers and	අතේ ඇඟිලි
strong interest	දැඩි උනන්දුවක්
and scenes	දර්ශන හා
the Postal	ලංකා තැපැල්
epithelial cells	රුධිර සෛල
a grenade	වෙඩි උණ්ඩ
freelance journalist	පුවත්පත් කලාවේදියකු
January 1920	1948 පෙබරවාරි
the renovations	පිළිසකර කිරීම
comes home	ගෙදර එන
team players	ක්‍රීඩකයන් අතර
it introduced	මෙය හඳුන්වා
he extended	දක්වා ඔහු
deputies and	මන්ත්‍රීවරුන් සහ
the dating	යුගයට පෙර
successful that	සාර්ථක බව
and André	රෝයි ද
restricting the	සීමා කිරීම
and filed	එම පෙත්සම
during two	දෙක තුළදී
Districts are	යන දිස්ත්‍රික්ක
of thieves	සොරුන් විසින්
blacksmith shop	වඩු වැඩ
different categories	කාණ්ඩ යටතේ
and supervision	අධීක්ෂණය යටතේ
and cassette	කැසට් එක
student life	පාසල් ජීවිතය
Windsor and	මහනුවර සහ
dead bodies	මළ සිරුරු
and voluntary	හා සමෘද්ධි
the marshes	වගුරු බිම්
and dignity	ගෞරවය සහ
their hand	ඔවුන් අත
and mustered	බල සේනාවට
tennis team	විවෘත ටෙනිස්
prostitution in	ගිය ගණිකා
this important	මේ වැදගත්
of Allah	අල්ලාහ් විසින්
too weak	ඉතා දුර්වල
the deeper	හා ගැඹුරු
questions are	සමහර ප්‍රශ්න
confiscation of	රාජසන්තක කර
school the	එම පාසලේ
this step	පියවරෙන් පියවර
a USB	හාඩ් ඩිස්ක්
seen that	බව දැකිය
of malaria	මැලේරියා රෝගය
the Doctor	දොස්තර මහතා
and translations	සිංහල පරිවර්තන
the inscriptions	ශිලා ලේඛන
find new	නව සොයා
the lips	තොල් දෙක
melodies and	ගී තනු
become famous	ප්‍රසිද්ධ වෙලා
they adopted	ඔවුන් අනුගමනය
senior men	පිරිමි අංශයේ
peaceful and	හා සාමකාමී
the wholesale	සහ අලෙවි
while searching	සොයමින් සිටින
this appointment	මේ තනතුර
requesting that	බව දන්වා
waits for	එනතුරු බලා
new university	විද්‍යාලයේ නව
and informs	දැනගත් විට
some residents	පදිංචිකරුවන් වන
2008 presidential	පසුගිය ජනාධිපතිවරණ
Sanskrit and	සංස්කෘත භාෂාවෙන්
this image	මේ රූපය
so because	නිසා නම්
different methods	විවිධ ක්‍රම
September he	වැනිදා ඔහු
the capitalist	ධනවාදී ආර්ථික
best bowling	හොඳම පන්දු
Calvin Coolidge	එඩී ජයමාන්න
school improvement	පාසල් සංවර්ධනය
several minutes	මිනිත්තු කිහිපයක්
he hopes	ඔහු බලාපොරොත්තු
knife and	පිහියකින් ඇන
scholarships and	සඳහා ශිෂ්‍යත්ව
the gear	බෙල්ට් එක
of yoga	භාවනා කරන
revised by	විසින් සම්පාදනය
the ambulance	ගිලන් වූ
incarcerated in	සිරගතව සිටින
metre backstroke	එම ඉසව්වේ
commissioner and	ලේකම්වරයා සහ
fulfilling the	ඉටුකිරීම සඳහා
global and	සහ ගෝලීය
imported to	ආනයනය කරන
and easier	හා පහසු
businesses are	ව්‍යාපාර වල
the bounds	සීමා මායිම්
street that	ඒ පාරේ
cup victory	තරගය ජයග්‍රහණය
Arabs and	ජාතිකයන් අතර
and valuable	ඇති වටිනා
and sophisticated	සහ නවීන
hotel rooms	හෝටල් කාමර
as guests	ආරාධිතයන් ලෙස
a magician	මැජික් එකක්
that fell	වැටුණු බව
of scilly	සහ මුලතිව්
and trucks	ලොරි රථ
new methods	නව ක්‍රමවේදය
certificate and	සහතිකය ලබා
the advertisement	වෙළඳ දැන්වීමක්
joseon dynasty	අධිරාජ් යය
located in the	ඒ අසල පිහිටි
years of age	සහ වයස අවුරුදු
of the world	වන විට ලෝකය
the fact that	ඒ බව මේ
in Los Angeles	ලොස් ඇන්ජලීස් හි
householder with no	සහිත මෝටර් රථකාර්
of the song	නම් වූ ගීතය
President of the	මහතා සහ ජනාධිපති
of the largest	සිදු වූ විශාලතම
award for best	මට මේ සම්මානය
the United Nations	ද එක්සත් ජාතීන්ගේ
of the central	මේ අතර මධ්‍යම
of more than	වඩා වැඩි වූ
for the new	ඒ සඳහා නව
participate in the	මේ සඳහා සහභාගි
belonging to the	අයත් වූ අතර
of the Indian	වන විට ඉන්දියානු
officer of the	ද එම නිලධාරියා
because of his	ඒ නිසා ඔහුගේ
for the film	මේ චිත්‍රපටය සඳහා
as long as	දිගු කාලීන වශයෙන්
years after the	මේ නිසා වසර
the city and	නගරය හා ඒ
for use in	ඒ සඳහා භාවිතා
and that he	ඔහු ඒ බව
and the new	මේ අතර නව
and died in	මිය ගිය අතර
the context of	මෙම සන්දර්භය තුළ
the results of	ප්‍රතිඵල මේ වන
the night of	රාත්‍රිය වන විට
many of his	ඔහු බොහෝ විට
affiliated with the	හා ඊට අනුබද්ධ
the murder of	මෙම ඝාතනය සම්බන්ධයෙන්
by his wife	ඔහුගේ බිරිඳ විසින්
during the period	වකවානුව වන විට
the risk of	ඇති වීමේ අවදානම
a short time	ඒ කෙටි කාලය
appointed as the	මහතා එම තනතුරට
seats in the	නිදහස් පක්ෂ ආසන
whether or not	කවුරුන් හෝ මේ
and after the	අතර පසුව එම
black and white	කළු සහ සුදු
of the dead	මෙම මළ සිරුර
of the highest	වාර්තා වූ ඉහළම
because of their	ඒ නිසා ඔවුන්ගේ
the us and	මේ අතර ඇමරිකානු
the collapse of	කඩා වැටීම නිසා
involved with the	මේ හා සම්බන්ධ
days of the	වන දින මෙම
the idea that	අදහස නම් මේ
of the program	වන මෙම වැඩසටහන
accordance with the	අනුකූලව කටයුතු කරන
of the popular	ජනප්‍රිය වූ අතර
controlled by the	විසින් පාලනය කරන
of Jesus Christ	යේසුස් ක්‍රිස්තුස් වහන්සේ
and they had	මේ වනවිට ඔවුන්
million years ago	මීට වසර මිලියන
and the surrounding	හා ඒ අවට
